id,respondent_id,survey_id,answer
75,25,7,"Люблю культурный туризм"
76,26,8,"Пью достаточно воды"
77,27,9,"Опасаюсь влияния технологий на приватность"
78,28,10,"Слушаю классическую музыку"
79,29,1,"Пользуюсь интернетом 5-7 часов в день"
80,30,2,"Покупаю эко-товары"
81,31,3,"Социальные сети помогают в учёбе"
82,32,4,"Занимаюсь спортом 2-3 раза в неделю"
83,33,5,"Веду бюджет в мобильном приложении"
84,34,6,"Прохожу онлайн-курсы для развития"
85,35,7,"Предпочитаю активный отдых на природе"
86,36,8,"Стараюсь есть больше овощей и фруктов"
87,37,9,"Верю в потенциал искусственного интеллекта"
88,38,10,"Люблю посещать театры и выставки"
89,39,1,"Пользуюсь интернетом 3-5 часов в день"
90,40,2,"Сортирую мусор и экономлю воду"
91,41,3,"Ограничиваю время в соцсетях"
92,42,4,"Соблюдаю режим сна"
93,43,5,"Планирую расходы на месяц вперёд"
94,44,6,"Читаю профессиональную литературу"
95,45,7,"Путешествую по России"
96,46,8,"Избегаю фастфуда"
97,47,9,"Хочу изучить программирование"
98,48,10,"Читаю классику и современную литературу"
99,49,1,"Пользуюсь интернетом 5-7 часов в день"
100,50,2,"Стараюсь меньше использовать пластик"
101,1,4,"Занимаюсь спортом 2-3 раза в неделю"
102,2,5,"Веду бюджет в мобильном приложении"
103,3,6,"Прохожу онлайн-курсы для развития"
104,4,7,"Предпочитаю активный отдых на природе"
105,5,8,"Стараюсь есть больше овощей и фруктов"
106,6,9,"Верю в потенциал искусственного интеллекта"
107,7,10,"Люблю посещать театры и выставки"
108,8,1,"Пользуюсь интернетом 3-5 часов в день"
109,9,2,"Сортирую мусор и экономлю воду"
110,10,3,"Социальные сети помогают в учёбе"
111,11,4,"Соблюдаю режим сна"
112,12,5,"Инвестирую небольшие суммы"
113,13,6,"Участвую в конференциях"
114,14,7,"Люблю культурный туризм"
115,15,8,"Пью достаточно воды"
116,16,9,"Опасаюсь влияния технологий на приватность"
117,17,10,"Слушаю классическую музыку"
118,18,1,"Пользуюсь интернетом более 7 часов в день"
119,19,2,"Покупаю эко-товары"
120,20,3,"Ограничиваю время в соцсетях"
